Time,Magnitude (nT),X,Y,Z
1997-08-23T14:16:37.904000,-0.83,-8236044.665871207,3906298.3430158375,1770615.307900062
1997-08-23T14:17:11.237000,-1.61,-8236023.412437642,3906238.124235915,1770586.774720042
1997-08-23T14:17:44.571000,-1.8,-8236002.782668059,3906179.6759173376,1770559.0804434244
1997-08-23T14:18:17.904000,-2.0,-8235982.1514829,3906121.2269295724,1770531.3858634206
1997-08-23T14:18:51.237000,-1.9,-8235960.893629762,3906061.00606042,1770502.8517365817
1997-08-23T14:19:26.570000,-1.57,-8235939.00897597,3905999.0132471705,1770473.478034324
1997-08-23T14:19:59.904000,-1.84,-8235918.373415343,3905940.5621911585,1770445.7825169791
1997-08-23T14:20:33.237000,-1.94,-8235897.1110543,3905880.33919093,1770417.2474242458
1997-08-23T14:21:06.570000,-2.07,-8235876.472619492,3905821.8867762154,1770389.5512910674
1997-08-23T14:21:39.904000,-2.15,-8235855.832768989,3905763.433692373,1770361.854854652
1997-08-23T14:22:13.237000,-2.25,-8235834.565987895,3905703.208602855,1770333.31881501
1997-08-23T14:22:46.570000,-2.3,-8235813.923263327,3905644.7541603097,1770305.621762791
1997-08-23T14:23:19.904000,-2.3,-8235793.279122948,3905586.299048577,1770277.9244072454
1997-08-23T14:23:53.237000,-2.35,-8235772.007921565,3905526.071870008,1770249.387420784
1997-08-23T14:24:26.570000,-2.56,-8235751.360906763,3905467.6153996317,1770221.6894494945
1997-08-23T14:24:59.904000,-2.48,-8235730.7124762675,3905409.1582601275,1770193.9911749677
1997-08-23T14:25:33.237000,-2.3,-8235709.436854835,3905348.9289921504,1770165.4532415085
1997-08-23T14:26:06.570000,-2.25,-8235688.785549679,3905290.4704940626,1770137.754351208
1997-08-23T14:26:39.904000,-2.41,-8235668.132828829,3905232.0113266683,1770110.0551575809
1997-08-23T14:27:13.237000,-2.21,-8235646.85278675,3905171.77996964,1770081.5162773025
1997-08-23T14:27:46.570000,-2.51,-8235626.197191478,3905113.319443602,1770053.8164678717
1997-08-23T14:28:19.904000,-2.3,-8235605.540179918,3905054.858248437,1770026.1163552038
1997-08-23T14:28:53.237000,-2.25,-8235584.255717549,3904994.6248019408,1769997.5765279871
1997-08-23T14:29:26.570000,-2.32,-8235563.595831327,3904936.162248191,1769969.875799605
1997-08-23T14:29:59.903000,-2.2,-8235542.934529055,3904877.699025314,1769942.1747678665
1997-08-23T14:30:33.237000,-2.27,-8235521.645646039,3904817.463489588,1769913.6339937411
1997-08-23T14:31:06.570000,-2.65,-8235500.981468868,3904758.998908067,1769885.9323463181
1997-08-23T14:31:39.903000,-2.85,-8235480.315875884,3904700.5336572994,1769858.230395539
1997-08-23T14:32:13.237000,-2.8,-8235459.0225718655,3904640.2960322844,1769829.688674535
1997-08-23T14:32:46.570000,-2.69,-8235438.3541039815,3904581.8294228134,1769801.986107952
1997-08-23T14:33:19.903000,-2.56,-8235417.684219928,3904523.362144215,1769774.2832381616
1997-08-23T14:33:53.237000,-2.41,-8235396.386494667,3904463.12243003,1769745.7405702192
1997-08-23T14:34:26.570000,-2.13,-8235375.713735476,3904404.653792728,1769718.0370846253
1997-08-23T14:34:59.903000,-2.13,-8235355.039560234,3904346.1844863584,1769690.3332957942
1997-08-23T14:35:33.237000,-1.94,-8235333.7374137305,3904285.942682884,1769661.789680973
1997-08-23T14:36:06.570000,-1.89,-8235313.060363351,3904227.4720176924,1769634.0852763087
1997-08-23T14:36:39.903000,-1.91,-8235292.381896801,3904169.000683491,1769606.3805684366
1997-08-23T14:37:13.237000,-2.02,-8235271.075328817,3904108.7567907274,1769577.8360067068
1997-08-23T14:37:46.570000,-1.78,-8235250.393986773,3904050.284097884,1769550.1306830314
1997-08-23T14:38:19.903000,-1.4,-8235229.711228676,3903991.810735733,1769522.4250560887
1997-08-23T14:38:53.236000,-1.35,-8235208.400238972,3903931.564753739,1769493.8795474505
1997-08-23T14:39:26.570000,-1.38,-8235187.714605501,3903873.0900329454,1769466.173304764
1997-08-23T14:39:59.903000,-1.41,-8235167.0275557395,3903814.614643023,1769438.4667586912
1997-08-23T14:40:33.236000,-1.45,-8235145.712144197,3903754.366571621,1769409.920303174
1997-08-23T14:41:06.570000,-1.12,-8235125.0222188225,3903695.8898231154,1769382.2131413873
1997-08-23T14:41:39.903000,-0.97,-8235104.330877157,3903637.412405243,1769354.5056763333
1997-08-23T14:42:13.236000,-0.89,-8235083.011043656,3903577.1622446114,1769325.9582739074
1997-08-23T14:42:46.570000,-0.72,-8235062.316826378,3903518.683468215,1769298.25019308
1997-08-23T14:43:19.903000,-0.52,-8235041.621192571,3903460.2040225714,1769270.5418089551
1997-08-23T14:43:53.236000,-0.23,-8235020.296936873,3903399.9517726502,1769241.9934596207
1997-08-23T14:44:26.570000,-0.18,-8234999.598427453,3903341.470968364,1769214.2844597823
1997-08-23T14:44:59.903000,-0.16,-8234978.898501385,3903282.989494889,1769186.575156587
1997-08-23T14:45:33.236000,0.11,-8234957.569823373,3903222.7351556793,1769158.025860374
1997-08-23T14:46:06.570000,0.22,-8234936.867021453,3903164.252323621,1769130.3159414646
1997-08-23T14:46:39.903000,0.19,-8234916.162803122,3903105.768822256,1769102.6057192583
1997-08-23T14:47:13.236000,0.11,-8234894.829702676,3903045.512393637,1769074.055476107
1997-08-23T14:47:46.569000,-0.05,-8234874.122608256,3902987.0275336886,1769046.344638127
1997-08-23T14:48:19.903000,0.12,-8234853.4140974255,3902928.5420044926,1769018.6334969096
1997-08-23T14:48:53.236000,0.04,-8234832.0765740685,3902868.2834867635,1768990.0823068793
1997-08-23T14:49:26.569000,0.04,-8234811.365187028,3902809.796598805,1768962.3705498585
1997-08-23T14:49:59.903000,0.27,-8234790.652383341,3902751.309041778,1768934.6584895109
