Time,X,Y,Z
1999-11-15T10:00:53.404000,-5589897.613467803,325800.90005079133,54975.570652805225
1999-11-16T02:40:53.404000,-5419973.886191286,220631.95013332387,7270.913028137803
1999-11-16T19:20:53.404000,-5234553.499417764,114828.56062457805,-40455.29408240808
1999-11-17T12:00:53.404000,-5032487.918241534,8658.181540592986,-88052.78831807073
1999-11-18T04:40:53.404000,-4812402.713314084,-97542.71387717249,-135333.82053859392
1999-11-18T21:20:53.404000,-4572632.044417721,-203341.0022991396,-182058.60581580552
1999-11-19T14:00:53.404000,-4311125.47893844,-308164.6351334937,-227913.19187903483
1999-11-20T06:40:53.404000,-4025311.254329431,-411235.8362348195,-272474.6774367455
1999-11-20T23:20:53.404000,-3711888.259783036,-511460.38907013275,-315153.91014232027
1999-11-21T16:00:53.404000,-3366494.378575364,-607233.7786380874,-355095.7462413506
1999-11-22T08:40:53.404000,-2983147.93997678,-696077.4638019477,-390993.0742444766
1999-11-23T01:20:53.404000,-2553238.163563866,-773890.1992444904,-420706.5860382764
1999-11-23T18:00:53.404000,-2063525.712619963,-833199.9890557686,-440383.5778167177
1999-11-24T10:40:53.404000,-1491667.2811129696,-858244.3686771132,-441999.02746292454
1999-11-25T03:20:53.404000,-794683.8873475732,-806224.94761307,-404087.50079208513
1999-11-25T20:00:53.404000,101630.9503920842,-478402.8727750469,-228596.26049508684
1999-11-26T12:40:53.404000,272618.6991215413,599704.3257495151,274618.875356649
1999-11-27T05:20:53.404000,-278119.19494750357,1214941.2029438186,535495.3601529729
1999-11-27T22:00:53.404000,-795971.389482811,1579286.890434902,685175.5407320177
1999-11-28T14:40:53.404000,-1261184.4023022307,1832516.269428992,786564.907868822
1999-11-29T07:20:53.404000,-1682417.8641360507,2020399.7952248089,859881.7724187109
1999-11-30T00:00:53.404000,-2067244.8785991305,2164091.4445108525,914356.9148836219
1999-11-30T16:40:53.404000,-2421268.6484432076,2275438.8564833477,955063.8304568826
1999-12-01T09:20:53.404000,-2748482.7700183843,2361476.59371721,985144.6274203929
1999-12-02T02:00:53.404000,-3051963.9960039235,2427055.2561515644,1006688.6248908723
1999-12-02T18:40:53.404000,-3334089.632940185,2475607.9798963796,1021169.3372512662
1999-12-03T11:20:53.404000,-3596738.981689972,2509668.003451193,1029671.0481050934
1999-12-04T04:00:53.404000,-3841422.7966971844,2531168.07510381,1033019.02949602
1999-12-04T20:40:53.404000,-4069373.1706103715,2541622.684361789,1031858.6917949491
1999-12-05T13:20:53.404000,-4281606.842048354,2542244.5919428235,1026706.0998190445
1999-12-06T06:00:53.404000,-4478970.630886569,2534022.822619618,1017981.6648015619
1999-12-06T22:40:53.404000,-4662174.774923003,2517776.7466176716,1006033.458131578
1999-12-07T15:20:53.404000,-4831817.565453965,2494194.4788329145,991153.7473564999
1999-12-08T08:00:53.404000,-4988403.93414578,2463860.6951750983,973590.9583641177
1999-12-09T00:40:53.404000,-5132359.819048338,2427277.2522895983,953558.5234962555
1999-12-09T17:20:53.404000,-5264043.46280402,2384878.880978219,931241.603304117
1999-12-10T10:00:53.404000,-5383754.234020164,2337045.38053075,906802.309165101
1999-12-11T02:40:53.404000,-5491739.4827824505,2284111.1351349438,880383.780856417
1999-12-11T19:20:53.404000,-5588199.920885321,2226372.711638589,852113.4448200315
1999-12-12T12:00:53.404000,-5673293.689477841,2164094.960739548,822105.6392211647
1999-12-13T04:40:53.404000,-5747139.464875614,2097515.908361694,790463.7218415615
1999-12-13T21:20:53.404000,-5809818.865807388,2026850.8261866583,757281.8262790666
1999-12-14T14:00:53.404000,-5861379.133253436,1952295.2184983946,722646.2473684854
1999-12-15T06:40:53.404000,-5901912.860545364,1874315.9422970933,686191.9486446888
1999-12-15T23:20:53.404000,-5931383.308474402,1793183.2323500442,647860.4238787921
1999-12-16T16:00:53.404000,-5949669.775751524,1708668.8422512887,608288.156399324
1999-12-17T08:40:53.404000,-5956680.095956967,1620906.0668923517,567559.2417207168
1999-12-18T01:20:53.404000,-5952287.617769554,1530030.5289399726,525740.1457558124
1999-12-18T18:00:53.404000,-5936327.527334189,1436171.8250536856,482895.7066786354
1999-12-19T10:40:53.404000,-5908594.107100016,1339455.316795843,439090.0453204136
1999-12-20T03:20:53.404000,-5868837.099449694,1240003.9093212485,394387.497560418
1999-12-20T20:00:53.404000,-5816757.182253131,1137939.9459600488,348853.62518486584
1999-12-21T12:40:53.404000,-5752000.27933214,1033387.3803489704,302556.3889313442
1999-12-22T05:20:53.404000,-5674126.775891947,926492.9275519683,255572.17870660027
1999-12-22T22:00:53.404000,-5582652.130771966,817391.8646794986,207978.25203116273
1999-12-23T14:40:53.404000,-5477026.244166574,706211.4903752735,159854.85265990038
1999-12-24T07:20:53.404000,-5356580.296928194,593114.3260566924,111297.05449989626
1999-12-25T00:00:53.404000,-5220527.763793833,478284.7142481744,62413.75306237315
1999-12-25T16:40:53.404000,-5067941.9447276145,361936.5844292514,13331.897247568504
1999-12-26T09:20:53.404000,-4897719.425950547,244326.82816103622,-35796.456707245714
1999-12-27T02:00:53.404000,-4708536.26168954,125771.83418789001,-84785.47735588226
1999-12-27T18:40:53.404000,-4498785.859204554,6670.0133177658945,-133398.86158057846
1999-12-28T11:20:53.404000,-4266491.510461862,-112457.1260545021,-181339.19206648943
1999-12-29T04:00:53.404000,-4009179.6410204745,-230910.57267112355,-228208.78522777278
1999-12-29T20:40:53.404000,-3723688.821786295,-347717.0917383258,-273462.5331499348
1999-12-30T13:20:53.404000,-3405868.357391874,-461463.7062395222,-316322.3626357192
1999-12-31T06:00:53.404000,-3050078.057360103,-569992.2818576902,-355621.0920178931
1999-12-31T22:40:53.404000,-2648306.1968190195,-669784.4682764189,-389490.5013240742
2000-01-01T15:20:53.404000,-2188439.5165934716,-754571.7896597729,-414670.8699150461
2000-01-02T08:00:53.404000,-1650554.2613165702,-811621.064420517,-424681.11070646625
2000-01-03T00:40:53.404000,-997599.4221367697,-808791.706126622,-403562.7679175102
2000-01-03T17:20:53.404000,-154076.13331489672,-620399.3253607195,-291016.215639592
2000-01-04T10:00:53.404000,407446.68042085535,341568.65308632463,164461.27047078448
2000-01-05T02:40:53.404000,-74242.00808420322,1101091.8634800639,510604.44574792293
2000-01-05T19:20:53.404000,-584595.372950201,1538153.906002178,706504.8446848731
2000-01-06T12:00:53.404000,-1050434.5951427382,1845345.5618767974,842685.0070622371
2000-01-07T04:40:53.404000,-1476069.213304626,2079755.9591674667,945612.0304409795
2000-01-07T21:20:53.404000,-1868152.2347403325,2266270.6744472543,1026753.7701527105
2000-01-08T14:00:53.404000,-2231890.4432512373,2418187.8112128116,1092215.49616825
2000-01-09T06:40:53.404000,-2571128.8294968475,2543426.038618079,1145625.5346128184
2000-01-09T23:20:53.404000,-2888832.8745875265,2647287.2107750624,1189405.800071802
2000-01-10T16:00:53.404000,-3187306.1557361004,2733479.490368973,1225246.9733753568
2000-01-11T08:40:53.404000,-3468376.257918544,2804715.3636714877,1254383.7636562863
2000-01-12T01:20:53.404000,-3733520.104758674,2863049.5547047537,1277750.1675604547
2000-01-12T18:00:53.404000,-3983950.0705049047,2910082.5034959745,1296072.8131821863
2000-01-13T10:40:53.404000,-4220674.778398917,2947089.485805721,1309930.1022121345
2000-01-14T03:20:53.404000,-4444542.956766289,2975106.22953565,1319791.3754868314
2000-01-14T20:00:53.404000,-4656274.730915538,2994988.107019447,1326043.9347976756
2000-01-15T12:40:53.404000,-4856487.354623146,3007450.4256931995,1329011.4939317773
2000-01-16T05:20:53.404000,-5045713.336225738,3013098.502879343,1328967.885602834
2000-01-16T22:00:53.404000,-5224413.198287938,3012450.616501576,1326147.4727262838
2000-01-17T14:40:53.404000,-5392987.357133513,3005954.2112924717,1320752.5503086399
2000-01-18T07:20:53.404000,-5551785.048076398,2993998.7258509276,1312959.1792254928
2000-01-19T00:00:53.404000,-5701111.454358684,2976925.621553869,1302921.7454387404
2000-01-19T16:40:53.404000,-5841233.39789086,2955036.309804672,1290776.5642064041
2000-01-20T09:20:53.404000,-5972383.897339836,2928598.4088260075,1276644.7238616128
2000-01-21T02:00:53.404000,-6094765.969434539,2897850.758329186,1260634.3620438033
2000-01-21T18:40:53.404000,-6208555.816975607,2863007.575680711,1242842.551635376
2000-01-22T11:20:53.404000,-6313905.406633231,2824261.8853182592,1223356.8579505782
2000-01-23T04:00:53.404000,-6410944.595667939,2781788.3610094474,1202256.629660074
2000-01-23T20:40:53.404000,-6499782.84510045,2735745.708676998,1179614.08217645
2000-01-24T13:20:53.404000,-6580510.597036262,2686278.6365503906,1155495.1938137843
2000-01-25T06:00:53.404000,-6653200.441463934,2633519.5327472505,1129960.4685926607
2000-01-25T22:40:53.404000,-6717908.06023704,2577589.925567025,1103065.601036643
2000-01-26T15:20:53.404000,-6774672.953203896,2518601.7700927155,1074862.0638516278
2000-01-27T08:00:53.404000,-6823518.902356981,2456658.5618619258,1045397.6193874241
2000-01-28T00:40:53.404000,-6864454.251554639,2391856.255228129,1014716.7423693169
2000-01-28T17:20:53.404000,-6897472.105786828,2324284.0879282174,982860.9997833681
2000-01-29T10:00:53.404000,-6922523.581610301,2253991.6766224927,949856.9892502603
2000-01-30T02:40:53.404000,-6939586.0784088485,2181074.800135947,915748.0390709491
2000-01-30T19:20:53.404000,-6948618.275017528,2105622.8398690177,880574.8986667919
2000-01-31T12:00:53.404000,-6949550.832623985,2027705.2537171904,844370.8116628685
2000-02-01T04:40:53.404000,-6942297.573368849,1947388.0575153572,807167.6576686116
2000-02-01T21:20:53.404000,-6926754.612945167,1864734.358513869,768996.2119132673
2000-02-02T14:00:53.404000,-6902799.313618994,1779805.0131704893,729886.0966605981
2000-02-03T06:40:53.404000,-6870288.904549448,1692658.9310849514,689866.7555755409
2000-02-03T23:20:53.404000,-6829058.790411005,1603353.7062300781,648967.5427099176
2000-02-04T16:00:53.404000,-6778920.6042406475,1511946.3470378786,607217.5790801158
2000-02-05T08:40:53.404000,-6719659.362115788,1418494.1335009476,564646.4487511668
2000-02-06T01:20:53.404000,-6651031.120650211,1323055.1037522033,521284.4891261635
2000-02-06T18:00:53.404000,-6572761.50084472,1225688.600696196,477162.6725732968
2000-02-07T10:40:53.404000,-6484537.750764578,1126455.495065224,432314.64056790184
2000-02-08T03:20:53.404000,-6386006.472787086,1025422.3392703658,386775.7575527498
2000-02-08T20:00:53.404000,-6276766.377472728,922660.5148791062,340584.7893180109
2000-02-09T12:40:53.404000,-6156361.130429199,818248.725419226,293784.6694287504
2000-02-10T05:20:53.404000,-6024270.1833953,712275.4983166305,246423.7894436934
2000-02-10T22:00:53.404000,-5879897.120128929,604842.4483974434,198557.6783041684
2000-02-11T14:40:53.404000,-5722554.894310462,496068.44496545923,150251.1435354121
2000-02-12T07:20:53.404000,-5551447.119309677,386095.24313873093,101581.1469594844
2000-02-13T00:00:53.404000,-5365643.734659479,275095.2577954621,52640.7541925023
2000-02-13T16:40:53.404000,-5164048.925609159,163282.44511067634,3544.635895702242
2000-02-14T09:20:53.404000,-4945357.896777615,50927.954173507445,-45563.059711765825
2000-02-15T02:00:53.404000,-4707997.28984758,-61616.940967070404,-94497.22531758703
2000-02-15T18:40:53.404000,-4450041.279979893,-173886.15714788873,-143014.5168671099
2000-02-16T11:20:53.404000,-4169089.70304176,-285244.45644582744,-190786.41894421552
2000-02-17T04:00:53.404000,-3862085.4447969845,-394798.62913863955,-237355.45831266796
2000-02-17T20:40:53.404000,-3525028.371481045,-501243.6055600731,-282059.75167582673
2000-02-18T13:20:53.404000,-3152501.5404471853,-602578.9585721871,-323894.74717072747
2000-02-19T06:00:53.404000,-2736834.5146174296,-695540.3627219318,-361238.2699767095
2000-02-19T22:40:53.404000,-2266498.948502438,-774330.1885132688,-391236.73319672735
2000-02-20T15:20:53.404000,-1722655.4443558974,-827267.1364137107,-408202.77808451874
2000-02-21T08:00:53.404000,-1070625.7423034643,-825438.3261000457,-398227.20204953593
2000-02-22T00:40:53.404000,-239194.49770805374,-661644.7083886828,-310542.3716569018
2000-02-22T17:20:53.404000,426992.95010274934,230502.50399830457,116503.89797323768
2000-02-23T10:00:53.404000,-56686.68890914189,1047871.8592409735,499456.5379815268
2000-02-24T02:40:53.404000,-592885.0113392544,1508521.0407676732,711297.389027961
2000-02-24T19:20:53.404000,-1082477.2501802228,1836097.621075833,860305.6956106472
2000-02-25T12:00:53.404000,-1531319.040709995,2092315.8049485106,975858.8959695733
2000-02-26T04:40:53.404000,-1947131.3964442497,2302751.6374829183,1070052.5411877618
2000-02-26T21:20:53.404000,-2335704.3237481792,2480712.4208107046,1149153.101603177
2000-02-27T14:00:53.404000,-2701274.4246951486,2634116.9134998405,1216876.53552919
2000-02-28T06:40:53.404000,-3047006.9007190187,2768109.178116016,1275631.0945547274
2000-02-28T23:20:53.404000,-3375331.8615145334,2886247.582877335,1327079.03488283
2000-02-29T16:00:53.404000,-3688163.476861601,2991110.667256248,1372422.6763939771
2000-03-01T08:40:53.404000,-3987040.108292126,3084637.039771586,1412564.4143358406
2000-03-02T01:20:53.404000,-4273221.700116104,3168326.9350851695,1448201.5444944086
2000-03-02T18:00:53.404000,-4547756.241247214,3243369.201001107,1479885.8903422446
2000-03-03T10:40:53.404000,-4811527.143023089,3310724.5889509367,1508062.8550535613
2000-03-04T03:20:53.404000,-5065287.84375347,3371182.5979784555,1533098.0391511573
2000-03-04T20:00:53.404000,-5309687.418853583,3425401.36130521,1555295.8970220762
2000-03-05T12:40:53.404000,-5545289.984513437,3473936.3102668105,1574913.1295989356
2000-03-06T05:20:53.404000,-5772589.634996703,3517261.2908661123,1592168.5410696531
2000-03-06T22:00:53.404000,-5992022.086408288,3555784.3775415244,1607250.4134667977
2000-03-07T14:40:53.404000,-6203973.949890556,3589859.9504340966,1620322.133264115
2000-03-08T07:20:53.404000,-6408790.181969889,3619798.0838686763,1631526.5613522134
2000-03-09T00:00:53.404000,-6606780.135130548,3645871.947146468,1640989.4751476636
2000-03-09T16:40:53.404000,-6798222.461434439,3668323.714355818,1648822.3162200127
2000-03-10T09:20:53.404000,-6983369.000314452,3687368.913984716,1655124.7898808995
2000-03-11T02:00:53.404000,-7162448.40664635,3703201.0177414953,1659985.7125201928
2000-03-11T18:40:53.404000,-7335668.927924507,3715994.368246764,1663484.743833295
2000-03-12T11:20:53.404000,-7503220.648564017,3725906.310028766,1665694.157559339
2000-03-13T04:00:53.404000,-7665277.60894701,3733079.646381772,1666679.526424612
2000-03-13T20:40:53.404000,-7821999.514786296,3737644.4591647233,1666500.5651514768
2000-03-14T13:20:53.404000,-7973533.213484884,3739719.6309576756,1665211.8349947787
2000-03-15T06:00:53.404000,-8120013.983993098,3739414.1446013483,1662863.3447221662
2000-03-15T22:40:53.404000,-8261566.664746939,3736828.1968662273,1659501.0652511953
2000-03-16T15:20:53.404000,-8398306.637434894,3732054.173235785,1655167.3802050191
2000-03-17T08:00:53.404000,-8530340.653622912,3725177.480292715,1649901.4708421899
2000-03-18T00:40:53.404000,-8657767.56841828,3716277.24658203,1643739.639679346
2000-03-18T17:20:53.404000,-8780679.010652103,3705426.944235306,1636715.5971773274
2000-03-19T10:00:53.404000,-8899159.973632393,3692694.9383983505,1628860.715112514
2000-03-20T02:40:53.404000,-9013289.221150812,3678145.073907755,1620204.2915114947
2000-03-20T19:20:53.404000,-9123138.816009965,3661837.8525281833,1610774.0506002295
2000-03-21T12:00:53.404000,-9228778.020124992,3643827.9959700773,1600595.1824759215
2000-03-22T04:40:53.404000,-9330269.905872682,3624167.7816526666,1589691.7067115814
